id,entity,start_char,end_char,label,doc_id
1,The Federal Reserve,0,19,ORG,1
2,U.S.,165,169,LOC,1
3,U.S.,517,521,LOC,1
4,May.,594,598,LOC,1
5,Canada,785,791,LOC,1
6,Canada,1203,1209,LOC,1
7,The Bank of Canada,1335,1353,ORG,1
8,U.S.,1798,1802,LOC,1
9,the Federal Reserve,1958,1977,ORG,1
10,Fed,2185,2188,ORG,1
11,Federal Reserve,2833,2848,ORG,1
12,Jerome Powell,2855,2868,PER,1
13,Fed,2952,2955,ORG,1
14,Michael Gregory,3352,3367,PER,1
15,Bank of Montreal,3395,3411,ORG,1
16,CBC News,3434,3442,ORG,1
17,Fed,3449,3452,ORG,1
18,The Federal Reserve,0,19,ORG,2
19,U.S.,165,169,LOC,2
20,U.S.,517,521,LOC,2
21,May.,594,598,LOC,2
22,Canada,785,791,LOC,2
23,Canada,1203,1209,LOC,2
24,The Bank of Canada,1335,1353,ORG,2
25,U.S.,1798,1802,LOC,2
26,the Federal Reserve,1958,1977,ORG,2
27,Fed,2185,2188,ORG,2
28,Federal Reserve,2833,2848,ORG,2
29,Jerome Powell,2855,2868,PER,2
30,Fed,2952,2955,ORG,2
31,Michael Gregory,3352,3367,PER,2
32,Bank of Montreal,3395,3411,ORG,2
33,CBC News,3434,3442,ORG,2
34,Fed,3449,3452,ORG,2
35,Canada,0,6,LOC,3
36,the Canadian Real Estate Association,286,322,ORG,3
37,Canada,687,693,LOC,3
38,Multiple Listing Service,1098,1122,ORG,3
39,Shaun Cathcart,1423,1437,ORG,3
40,Bank of Canada,1519,1533,ORG,3
41,Toronto,1664,1671,LOC,3
42,Vancouver,1676,1685,LOC,3
43,House,1733,1738,ORG,3
44,HPI,1752,1755,ORG,3
45,HPI,1863,1866,ORG,3
46,Toronto,2276,2283,LOC,3
47,Vancouver,2288,2297,LOC,3
48,Ontario,2454,2461,LOC,3
49,Rishi Sondhi,2521,2533,ORG,3
50,TD Bank,2553,2560,ORG,3
51,Ontario,2709,2716,LOC,3
52,British Columbia,2721,2737,LOC,3
53,the Greater,2847,2858,LOC,3
54,AnalysisNewest,3030,3044,ORG,3
55,Canada,3080,3086,LOC,3
56,"stability""It",3099,3111,ORG,3
57,GTA,3145,3148,ORG,3
58,Sondhi,3412,3418,PER,3
59,Toronto,3478,3485,LOC,3
60,Heaps Estrin,3509,3521,PER,3
61,Toronto,3544,3551,LOC,3
62,the Greater Toronto Area,3947,3971,ORG,3
63,Heaps,4194,4199,ORG,3
64,Wesley Favro,4643,4655,PER,3
65,Kelowna,4673,4680,LOC,3
66,B.C.,4682,4686,LOC,3
67,Tom Popyk/CBC)Another,4888,4909,PER,3
68,B.C.,4993,4997,LOC,3
69,Victoria,5020,5028,LOC,3
70,Vancouver,5033,5042,LOC,3
71,Wesley Favro,5108,5120,PER,3
72,Kelowna,5141,5148,ORG,3
73,B.C.,5270,5274,LOC,3
74,CBC News,5476,5484,ORG,3
75,COVID-19 vaccine,421,437,PER,4
76,Johnson & Johnson's,448,467,ORG,4
77,Canada,499,505,LOC,4
78,Ottawa,713,719,LOC,4
79,Intergovernmental Affairs Dominic LeBlanc,823,864,ORG,4
80,Isaac Bogoch,869,881,PER,4
81,Ottawa,1245,1251,LOC,4
82,Isaac Bogoch,1343,1355,PER,4
83,Omicron,1390,1397,ORG,4
84,Canada,1667,1673,LOC,4
85,Canada,1857,1863,LOC,4
86,the United States,1986,2003,LOC,4
87,Vaccine,2094,2101,PER,4
88,Omar Alghabra,2184,2197,PER,4
89,LeBlanc,2662,2669,ORG,4
90,U.S.,3104,3108,LOC,4
91,U.K.,3110,3114,LOC,4
92,Australia,3116,3125,LOC,4
93,Mexico,3127,3133,LOC,4
94,Spain,3135,3140,LOC,4
95,Germany,3145,3152,LOC,4
96,the Public Health Agency,3198,3222,ORG,4
97,Canada,3226,3232,LOC,4
98,PHAC,3234,3238,ORG,4
99,Central Africa,3366,3380,LOC,4
100,Canada,3478,3484,LOC,4
101,Samir Gupta,4093,4104,PER,4
102,CBC News,4272,4280,ORG,4
103,Samir Gupta,4895,4906,PER,4
104,B.C.,5002,5006,LOC,4
105,Montreal,5010,5018,LOC,4
106,Canada,5044,5050,LOC,4
107,Canada,5233,5239,LOC,4
108,Employment and Social Development Canada,5549,5589,ORG,4
109,Dominic LeBlanc,5769,5784,PER,4
110,Transport,5786,5795,LOC,4
111,Omar Alghabra,5805,5818,PER,4
112,Health,5823,5829,ORG,4
113,Jean-Yves Duclos,5839,5855,PER,4
114,Ottawa,5880,5886,LOC,4
115,Patrick Doyle/,5889,5903,PER,4
116,Toronto,197,204,LOC,5
117,Michael Katchen,250,265,PER,5
118,Ryan Reynolds,660,673,PER,5
119,Michael J. Fox,678,692,PER,5
120,Katchen,973,980,PER,5
121,Katchen,1515,1522,PER,5
122,Netflix,1900,1907,LOC,5
123,Klarna,1909,1915,LOC,5
124,Cameo,1917,1922,ORG,5
125,Bolt,1927,1931,PER,5
126,DMZ,2060,2063,ORG,5
127,Toronto,2067,2074,LOC,5
128,Communitech,2079,2090,ORG,5
129,Waterloo,2094,2102,LOC,5
130,Ont,2104,2107,PER,5
131,Katchen,2315,2322,LOC,5
132,Power Corp.,2349,2360,ORG,5
133,Microsoft,68,77,ORG,6
134,BlackBerry,241,251,ORG,6
135,Palm Pilots,279,290,ORG,6
136,Microsoft,366,375,ORG,6
137,Edge,468,472,ORG,6
138,Microsoft,560,569,ORG,6
139,Microsoft,640,649,ORG,6
140,Explorer,727,735,ORG,6
141,Sean Lyndersay,843,857,PER,6
142,Microsoft Edge Enterprise,878,903,ORG,6
143,Explorer,948,956,ORG,6
144,The Wall Street Journal,1148,1171,ORG,6
145,"href=""https://t.co/KQGndprUxn"">pic.twitter.com/KQGndprUxn</a>&mdash;@tomwarrenMicrosoft",1259,1346,ORG,6
146,Netscape Navigator,1487,1505,ORG,6
147,Microsoft,1567,1576,ORG,6
148,Navigator,1713,1722,ORG,6
149,U.S. Justice Department,1749,1772,ORG,6
150,Microsoft,1778,1787,ORG,6
151,Windows,1914,1921,ORG,6
152,Mozilla's Firefox,2181,2198,ORG,6
153,Opera,2200,2205,ORG,6
154,Google,2210,2216,ORG,6
155,IE,2260,2262,ORG,6
156,IE,2316,2318,ORG,6
157,Chrome,2450,2456,ORG,6
158,Apple,2553,2558,ORG,6
159,Safari,2561,2567,ORG,6
160,Statcounter,2626,2637,ORG,6
161,Edge,2650,2654,ORG,6
162,Brian Armstrong,308,323,PER,7
163,Coinbase,630,638,PER,7
164,BlockFi,750,757,PER,7
165,Crypto.com,779,789,ORG,7
166,Armstrong,1205,1214,PER,7
167,Armstrong,1558,1567,PER,7
168,Coinbase,1661,1669,PER,7
169,US.Crypto,1740,1749,ORG,7
170,Microsoft,68,77,ORG,8
171,BlackBerry,241,251,ORG,8
172,Palm Pilots,279,290,ORG,8
173,Microsoft,366,375,ORG,8
174,Edge,468,472,ORG,8
175,Microsoft,560,569,ORG,8
176,Microsoft,640,649,ORG,8
177,Explorer,727,735,ORG,8
178,Sean Lyndersay,843,857,PER,8
179,Microsoft Edge Enterprise,878,903,ORG,8
180,Explorer,948,956,ORG,8
181,The Wall Street Journal,1148,1171,ORG,8
182,"href=""https://t.co/KQGndprUxn"">pic.twitter.com/KQGndprUxn</a>&mdash;@tomwarrenMicrosoft",1259,1346,ORG,8
183,Netscape Navigator,1487,1505,ORG,8
184,Microsoft,1567,1576,ORG,8
185,Navigator,1713,1722,ORG,8
186,U.S. Justice Department,1749,1772,ORG,8
187,Microsoft,1778,1787,ORG,8
188,Windows,1914,1921,ORG,8
189,Mozilla's Firefox,2181,2198,ORG,8
190,Opera,2200,2205,ORG,8
191,Google,2210,2216,ORG,8
192,IE,2260,2262,ORG,8
193,IE,2316,2318,ORG,8
194,Chrome,2450,2456,ORG,8
195,Apple,2553,2558,ORG,8
196,Safari,2561,2567,ORG,8
197,Statcounter,2626,2637,ORG,8
198,Edge,2650,2654,ORG,8
199,Apple,0,5,ORG,9
200,Apple,63,68,ORG,9
201,League Soccer,79,92,PER,9
202,Apple TV,289,297,ORG,9
203,Apple,334,339,ORG,9
204,Major League Baseball,480,501,ORG,9
205,Eddy Cue,633,641,ORG,9
206,Apple,643,648,ORG,9
207,MLS,942,945,ORG,9
208,Don Garber,994,1004,PER,9
209,Apple,1010,1015,ORG,9
210,Toronto,1146,1153,LOC,9
211,Bob Bradley,1163,1174,PER,9
212,"needed""It",1224,1233,ORG,9
213,The Associated Press,1345,1365,ORG,9
214,Sports Business Journal,1537,1560,ORG,9
215,MLS,1785,1788,ORG,9
216,Leagues Cup,1793,1804,ORG,9
217,Apple,1856,1861,ORG,9
218,MLS,2068,2071,ORG,9
219,Garber,2080,2086,PER,9
220,US,2171,2173,LOC,9
221,Canada,2175,2181,LOC,9
222,Mexico,2186,2192,LOC,9
223,League Soccer,2257,2270,PER,9
224,MLS,2325,2328,ORG,9
225,Fox Sports,2469,2479,ORG,9
226,ESPN,2484,2488,ORG,9
227,ESPN,2520,2524,ORG,9
228,Fox,2578,2581,ORG,9
229,League Soccer,2670,2683,PER,9
230,Don Garber,2697,2707,PER,9
231,Apple,2773,2778,ORG,9
232,Katharine Lotze,2783,2798,PER,9
233,Apple,2857,2862,ORG,9
234,MLS,2869,2872,ORG,9
235,MLS,3044,3047,ORG,9
236,Apple,3224,3229,ORG,9
237,MLS,3238,3241,ORG,9
238,MLS ROUNDUPCF Montreal,3361,3383,ORG,9
239,MLS,3581,3584,ORG,9
240,Mexico,3589,3595,LOC,9
241,MLS NEXT Pro,3626,3638,ORG,9
242,MLS,3643,3646,ORG,9
243,Apple,3660,3665,ORG,9
244,MLS,3689,3692,ORG,9
245,Garber,4115,4121,PER,9
246,St. Louis CITY,4430,4444,LOC,9
247,Apple,4466,4471,ORG,9
248,NFL,4563,4566,ORG,9
249,US,785,787,LOC,10
250,Matt Damon,981,991,PER,10
251,Sal Guatieri,1106,1118,PER,10
252,the Bank of Montreal,1144,1164,ORG,10
253,Canada,1247,1253,LOC,10
254,Guatieri,1389,1397,PER,10
255,The Toronto Stock Exchange's,1551,1579,ORG,10
256,NASDAQ,1673,1679,ORG,10
257,Stephen Brown,2258,2271,PER,10
258,Canada,2280,2286,LOC,10
259,Capital Economics,2302,2319,ORG,10
260,Matt Damon,2326,2336,PER,10
261,Crypto.com,2358,2368,ORG,10
262,Brown,2788,2793,PER,10
263,Brown,3041,3046,PER,10
264,US,3165,3167,LOC,10
265,Brown,3823,3828,PER,10
266,Binance,4710,4717,PER,10
267,Brown,4912,4917,PER,10
268,Ontario's,5185,5194,ORG,10
269,University of Waterloo,5195,5217,ORG,10
270,Canada,5686,5692,LOC,10
271,U.S.,5846,5850,LOC,10
272,Brown,5873,5878,PER,10
273,the Federal Reserve,5989,6008,ORG,10
274,Brown,6217,6222,PER,10
275,Investopedia,6349,6361,ORG,10
276,Don,6557,6560,PER,10
277,Manulife Bank of Canada,137,160,ORG,11
278,The Bank of Canada,497,515,ORG,11
279,Lysa Fitzgerald,1101,1116,PER,11
280,Manulife,1145,1153,ORG,11
281,Bank of Canada,1186,1200,ORG,11
282,Rubina Ahmed-Haq,1296,1312,PER,11
283,the Bank of Canada,1318,1336,ORG,11
284,Fitzgerald,1426,1436,PER,11
285,Bank of Canada,1831,1845,ORG,11
286,US,222,224,LOC,12
287,Celsius,454,461,ORG,12
288,Luna,1040,1044,ORG,12
289,May.,1123,1127,LOC,12
290,Cory Klippsten,1252,1266,PER,12
291,Swan Bitcoin,1275,1287,PER,12
292,Celsius,1324,1331,ORG,12
293,the Canada Deposit Insurance Corp.,1541,1575,ORG,12
294,burnedQuebec,1898,1910,ORG,12
295,Québec,1963,1969,ORG,12
296,Celsius,2006,2013,ORG,12
297,CBC News,2274,2282,ORG,12
298,Binance ,2610,2618,PER,12
299,Crypto.com,2729,2739,ORG,12
300,Matt Damon,2793,2803,PER,12
301,Kris Marszalek,2974,2988,PER,12
302,BlockFi,3246,3253,ORG,12
303,US,3592,3594,LOC,12
304,U.S.,3850,3854,LOC,12
305,Ed Moya,4190,4197,PER,12
306,Oanda,4249,4254,ORG,12
307,"""Colin Cieszynski",4509,4526,PER,12
308,SIA Wealth Management,4546,4567,ORG,12
309,Toronto,4571,4578,LOC,12
310,Lucah Rosenberg-Lee,5190,5209,PER,12
311,Toronto,5234,5241,LOC,12
312,Rosenberg-Lee,5358,5371,PER,12
313,CBC,5694,5697,ORG,12
314,the U.S. Federal Reserve,6089,6113,ORG,12
315,U.S.,6267,6271,LOC,12
316,S&P,6439,6442,ORG,12
317,U.S.,6463,6467,LOC,12
318,Toronto,6614,6621,LOC,12
319,TSX,6641,6644,ORG,12
320,Bank of Canada,6790,6804,ORG,12
321,Statistics Canada,0,17,ORG,13
322,Travis Sperling,772,787,PER,14
323,Winters Instruments,834,853,ORG,14
324,Travis Sperling,922,937,PER,14
325,Winters Instruments,954,973,ORG,14
326,the Global Energy Show,986,1008,ORG,14
327,Calgary,1012,1019,LOC,14
328,Kyle Bakx/CBC)Prices,1168,1188,PER,14
329,Vladimir Putin,1220,1234,PER,14
330,Ukraine,1249,1256,LOC,14
331,Russia,1378,1384,LOC,14
332,Hayden Binde,1495,1507,PER,14
333,Montana,1534,1541,LOC,14
334,BioSqueeze,1548,1558,ORG,14
335,Calgary,1654,1661,LOC,14
336,the Global Energy Show,1676,1698,ORG,14
337,Morale,1729,1735,PER,14
338,Rod Craven,1892,1902,PER,14
339,Red Deer,1948,1956,ORG,14
340,Alta,1958,1962,ORG,14
341,Fort Hills,2134,2144,LOC,14
342,Kyle Bakx/CBC)Higher,2243,2263,PER,14
343,Sherry Martin,2501,2514,PER,14
344,Saskatchewan,2573,2585,LOC,14
345,Martin,2770,2776,PER,14
346,AGI Envirotank,2804,2818,ORG,14
347,Cenovus,3070,3077,PER,14
348,Alex Pourbaix,3082,3095,PER,14
349,Adesua Eigbe,3330,3342,PER,14
350,Total Combustion Inc.,3363,3384,ORG,14
351,Eigbe,3399,3404,PER,14
352,the Global Energy Show,3418,3440,ORG,14
353,Kyle Bakx/CBC)Oil,3443,3460,PER,14
354,Liam O'Brien,3566,3578,PER,14
355,Calgary,3582,3589,LOC,14
356,Sproule,3609,3616,ORG,14
357,O'Brien,3998,4005,PER,14
358,transitAlberta,4092,4106,LOC,14
359,British Columbia,4358,4374,LOC,14
360,Adesua Eigbe,4700,4712,PER,14
361,Total Combustion Inc.,4733,4754,ORG,14
362,the Working for Workers Act,426,453,ORG,15
363,Matthew Fisher,744,758,PER,15
364,Lecker & Associates,773,792,ORG,15
365,Shutterstock / Prostock-studio)June,1271,1306,ORG,15
366,Ontario,1337,1344,LOC,15
367,Fisher,1783,1789,ORG,15
368,Willful,1980,1987,LOC,15
369,Toronto,2330,2337,LOC,15
370,British Columbia,2584,2600,LOC,15
371,Toronto,2635,2642,LOC,15
372,Ontario,2680,2687,LOC,15
373,Steph Little,3521,3533,PER,15
374,Submitted,3697,3706,ORG,15
375,Steph Little,3814,3826,PER,15
376,Toronto,3887,3894,LOC,15
377,Daniel Lublin,4678,4691,PER,15
378,Whitten & Lublin,4738,4754,ORG,15
379,Toronto,4774,4781,LOC,15
380,"Jennifer Moss""It",5217,5233,PER,15
381,the Ministry of Labour,5468,5490,ORG,15
382,Nita Chhinzer,5628,5641,PER,15
383,the University of Guelph,5701,5725,ORG,15
384,Nita Chhinzer)Nita Chhinzer,5835,5862,PER,15
385,the University of Guelph,5909,5933,ORG,15
386,Teachndo Career Consultancy,262,289,ORG,16
387,Sudbury,293,300,LOC,16
388,Canada,932,938,LOC,16
389,May.,1042,1046,LOC,16
390,Alex Lupul,1372,1382,PER,16
391,Tria,1392,1396,PER,16
392,Tria,1518,1522,PER,16
393,Toronto,1578,1585,LOC,16
394,SNC,1800,1803,ORG,16
395,Tria,2068,2072,PER,16
396,Nita Chhinzer,2159,2172,PER,16
397,the University of Guelph,2251,2275,ORG,16
398,Ontario,2292,2299,LOC,16
399,the University of Guelph,2624,2648,ORG,16
400,CBC,2659,2662,ORG,16
401,Canada,2665,2671,LOC,16
402,Canada,3071,3077,LOC,16
403,Toronto,3641,3648,LOC,16
404,Evan Mitsui,3999,4010,PER,16
405,Burchfield,4021,4031,PER,16
406,the Toronto Region Board of Trade's Economic Blueprint Institute,4051,4115,ORG,16
407,Toronto,4223,4230,LOC,16
408,Toronto,4523,4530,LOC,16
409,Mark Rose,4634,4643,PER,16
410,Avison Young,4696,4708,ORG,16
411,the Globe and Mail,4715,4733,ORG,16
412,Paige Black,4880,4891,ORG,16
413,Dartmouth,5023,5032,ORG,16
414,N.S.She,5034,5041,ORG,16
415,CBC News,5441,5449,ORG,16
416,Angus Reid,5454,5464,PER,16
417,Tria,5486,5490,PER,16
418,Sweta Regmi,5812,5823,PER,16
419,Teachndo Career Consultancy,5848,5875,ORG,16
420,Sudbury,5879,5886,LOC,16
421,Sweta Regmi)For Black,5995,6016,ORG,16
422,Canada,6260,6266,LOC,16
423,the Canada Life Assurance Company,6389,6422,ORG,16
424,The Canada Life Assurance Company,6522,6555,ORG,16
425,Liz,6751,6754,PER,16
426,Colleen Bailey Moffitt,6888,6910,PER,16
427,Bailey Moffitt,6997,7011,PER,16
428,Canada Life,7017,7028,ORG,16
429,the Treasury Board,8025,8043,ORG,16
430,Canada,8047,8053,LOC,16
431,Loretta Rogers,0,14,PER,17
432,Rogers,37,43,PER,17
433,Rogers Communications Inc.,90,116,ORG,17
434,Martha Rogers,157,170,PER,17
435,Ted Rogers,360,370,PER,17
436,Edward Rogers,566,579,PER,17
437,Edward Rogers,640,653,PER,17
438,Blue Jays,730,739,ORG,17
439,Ted Rogers,746,756,PER,17
440,Edward Rogers,916,929,PER,17
441,the B.C. Supreme Court,962,984,ORG,17
442,Sarah Pelletier,341,356,PER,18
443,Ottawa,371,377,LOC,18
444,Kijiji,439,445,LOC,18
445,Kijiji,747,753,LOC,18
446,CBC News,874,882,ORG,18
447,Pelletier,1479,1488,ORG,18
448,Sarah Pelletier,1638,1653,PER,18
449,Kijiji,1747,1753,LOC,18
450,Sudbury,1782,1789,ORG,18
451,Ottawa,1807,1813,LOC,18
452,Sarah Pelletier)However,1914,1937,PER,18
453,Grandma,2106,2113,PER,18
454,bush,2150,2154,PER,18
455,Jean Beauchemin,2459,2474,PER,18
456,Cambrian College,2500,2516,ORG,18
457,Sudbury,2520,2527,LOC,18
458,"""Beauchemin",2696,2707,PER,18
459,Jean Beauchemin,3012,3027,PER,18
460,Cambrian College,3031,3047,ORG,18
461,Jean Beauchemin)Stefanie Bruinsma,3228,3261,PER,18
462,Kitchener,3301,3310,ORG,18
463,Bruinsma,3543,3551,PER,18
464,the Waterloo Centre for Automotive Research,3564,3607,ORG,18
465,the University of Waterloo,3611,3637,ORG,18
466,Auto Cate,3715,3724,ORG,18
467,Toyota,3881,3887,ORG,18
468,Bruinsma,3896,3904,PER,18
469,Bruinsma,4025,4033,PER,18
470,Bruinsma,4562,4570,PER,18
471,Bruinsma,4954,4962,PER,18
472,Bruinsma,5067,5075,PER,18
473,Bruinsma,5295,5303,PER,18
474,Bruinsma,5552,5560,PER,18
475,Beauchemin ,5833,5844,ORG,18
476,Bridget Yard,5969,5981,PER,18
477,Jonathan Pinto,5996,6010,PER,18
478,North9:20A,6041,6051,ORG,18
479,Kijiji,6109,6115,LOC,18
480,Bridget Yard,6258,6270,PER,18
481,Jonathan Pinto,6367,6381,PER,18
482,Sriracha,23,31,ORG,19
483,California,102,112,LOC,19
484,Huy Fong Inc.,119,132,ORG,19
485,Sriracha,546,554,ORG,19
486,California,719,729,LOC,19
487,New Mexico,731,741,LOC,19
488,Mexico,746,752,LOC,19
489,U.S.,987,991,LOC,19
490,California,1030,1040,LOC,19
491,The U.S. Drought Monitor,1056,1080,ORG,19
492,Canada,0,6,LOC,20
493,Statistics Canada,159,176,ORG,20
494,Canada,514,520,LOC,20
495,Canada,646,652,LOC,20
496,Canada,745,751,LOC,20
497,May,824,827,PER,20
498,TD Bank,1209,1216,ORG,20
499,James Orlando,1227,1240,PER,20
500,a Canadian Brewhouse's,1414,1436,ORG,20
501,Victoria,1449,1457,LOC,20
502,Mike McArthur/,1579,1593,PER,20
503,Canada,1608,1614,LOC,20
504,The Canadian Brewhouse,1748,1770,ORG,20
505,Canada,1820,1826,LOC,20
506,James Martyn,1828,1840,PER,20
507,Brewhouse,1932,1941,ORG,20
508,Martyn,2142,2148,PER,20
509,Western Canada,2382,2396,ORG,20
510,Ellen Yifan Chen,3212,3228,PER,20
511,Quebec,3261,3267,LOC,20
512,Montreal,3360,3368,LOC,20
513,Quebec City,3521,3532,LOC,20
514,Ellen Yifan Chen,3602,3618,PER,20
515,"Genevieve Poulin/CBC)""I",3721,3744,PER,20
516,Chen,3821,3825,PER,20
517,Chen,3958,3962,PER,20
518,LinkedIn,4372,4380,LOC,20
519,the Bank of Canada,4685,4703,ORG,20
520,Jay Zhao-Murray,4770,4785,PER,20
521,Monex,4823,4828,ORG,20
